===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
78    {'r': 0.481, 'p': 0.111, 'f': 0.181}   {'r': 0.192, 'p': 0.03, 'f': 0.053}  {'r': 0.407, 'p': 0.094, 'f': 0.153}
79     {'r': 0.324, 'p': 0.125, 'f': 0.18}  {'r': 0.051, 'p': 0.014, 'f': 0.022}  {'r': 0.297, 'p': 0.115, 'f': 0.165}
80    {'r': 0.526, 'p': 0.127, 'f': 0.205}  {'r': 0.167, 'p': 0.025, 'f': 0.044}  {'r': 0.526, 'p': 0.127, 'f': 0.205}
81      {'r': 0.5, 'p': 0.157, 'f': 0.239}  {'r': 0.132, 'p': 0.028, 'f': 0.047}  {'r': 0.474, 'p': 0.149, 'f': 0.226}
82    {'r': 0.647, 'p': 0.181, 'f': 0.283}   {'r': 0.259, 'p': 0.047, 'f': 0.08}  {'r': 0.627, 'p': 0.176, 'f': 0.275}
83    {'r': 0.214, 'p': 0.069, 'f': 0.104}  {'r': 0.037, 'p': 0.009, 'f': 0.014}  {'r': 0.214, 'p': 0.069, 'f': 0.104}
84    {'r': 0.521, 'p': 0.105, 'f': 0.175}    {'r': 0.31, 'p': 0.039, 'f': 0.07}  {'r': 0.521, 'p': 0.105, 'f': 0.175}
85    {'r': 0.154, 'p': 0.051, 'f': 0.076}  {'r': 0.038, 'p': 0.008, 'f': 0.014}  {'r': 0.154, 'p': 0.051, 'f': 0.076}
86     {'r': 0.455, 'p': 0.06, 'f': 0.105}  {'r': 0.018, 'p': 0.002, 'f': 0.003}  {'r': 0.341, 'p': 0.045, 'f': 0.079}
87    {'r': 0.524, 'p': 0.112, 'f': 0.185}  {'r': 0.286, 'p': 0.048, 'f': 0.082}  {'r': 0.476, 'p': 0.102, 'f': 0.168}
88    {'r': 0.586, 'p': 0.115, 'f': 0.192}  {'r': 0.357, 'p': 0.047, 'f': 0.082}  {'r': 0.483, 'p': 0.095, 'f': 0.158}
89    {'r': 0.333, 'p': 0.059, 'f': 0.101}  {'r': 0.148, 'p': 0.018, 'f': 0.032}  {'r': 0.296, 'p': 0.053, 'f': 0.089}
90    {'r': 0.514, 'p': 0.146, 'f': 0.228}  {'r': 0.171, 'p': 0.034, 'f': 0.056}   {'r': 0.457, 'p': 0.13, 'f': 0.203}
91    {'r': 0.161, 'p': 0.147, 'f': 0.154}  {'r': 0.029, 'p': 0.026, 'f': 0.027}  {'r': 0.097, 'p': 0.088, 'f': 0.092}
92    {'r': 0.267, 'p': 0.055, 'f': 0.091}  {'r': 0.062, 'p': 0.009, 'f': 0.015}    {'r': 0.2, 'p': 0.041, 'f': 0.068}
93    {'r': 0.385, 'p': 0.081, 'f': 0.133}  {'r': 0.207, 'p': 0.032, 'f': 0.055}  {'r': 0.385, 'p': 0.081, 'f': 0.133}
94    {'r': 0.233, 'p': 0.058, 'f': 0.093}   {'r': 0.033, 'p': 0.006, 'f': 0.01}  {'r': 0.233, 'p': 0.058, 'f': 0.093}
95    {'r': 0.487, 'p': 0.112, 'f': 0.183}  {'r': 0.186, 'p': 0.024, 'f': 0.042}  {'r': 0.487, 'p': 0.112, 'f': 0.183}
