===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
47    {'r': 0.515, 'p': 0.137, 'f': 0.217}  {'r': 0.083, 'p': 0.016, 'f': 0.027}  {'r': 0.364, 'p': 0.097, 'f': 0.153}
48    {'r': 0.679, 'p': 0.279, 'f': 0.396}  {'r': 0.393, 'p': 0.136, 'f': 0.202}   {'r': 0.607, 'p': 0.25, 'f': 0.354}
49     {'r': 0.519, 'p': 0.049, 'f': 0.09}  {'r': 0.222, 'p': 0.012, 'f': 0.023}   {'r': 0.519, 'p': 0.049, 'f': 0.09}
50     {'r': 0.679, 'p': 0.11, 'f': 0.189}  {'r': 0.148, 'p': 0.018, 'f': 0.031}  {'r': 0.643, 'p': 0.104, 'f': 0.179}
51    {'r': 0.525, 'p': 0.179, 'f': 0.268}  {'r': 0.163, 'p': 0.044, 'f': 0.069}  {'r': 0.475, 'p': 0.162, 'f': 0.242}
52     {'r': 0.805, 'p': 0.34, 'f': 0.478}  {'r': 0.523, 'p': 0.165, 'f': 0.251}   {'r': 0.805, 'p': 0.34, 'f': 0.478}
53    {'r': 0.812, 'p': 0.197, 'f': 0.317}   {'r': 0.323, 'p': 0.06, 'f': 0.101}   {'r': 0.562, 'p': 0.136, 'f': 0.22}
54     {'r': 0.435, 'p': 0.06, 'f': 0.105}  {'r': 0.182, 'p': 0.015, 'f': 0.028}   {'r': 0.435, 'p': 0.06, 'f': 0.105}
55     {'r': 0.621, 'p': 0.105, 'f': 0.18}  {'r': 0.429, 'p': 0.046, 'f': 0.084}   {'r': 0.621, 'p': 0.105, 'f': 0.18}
56    {'r': 0.844, 'p': 0.113, 'f': 0.199}  {'r': 0.543, 'p': 0.036, 'f': 0.067}    {'r': 0.8, 'p': 0.107, 'f': 0.188}
57    {'r': 0.703, 'p': 0.111, 'f': 0.191}  {'r': 0.179, 'p': 0.014, 'f': 0.026}  {'r': 0.595, 'p': 0.094, 'f': 0.162}
58    {'r': 0.444, 'p': 0.067, 'f': 0.116}  {'r': 0.138, 'p': 0.015, 'f': 0.026}  {'r': 0.444, 'p': 0.067, 'f': 0.116}
